id,original_input,gold_reference,bigscience/T0pp,text-davinci-003,gpt-3.5-turbo
7b0bf6e6a2f5e044f37715e5cca29d54160dc6da9e9ed58db1bd24828bd0bf88,"Cairo (CNN)An Egyptian court has sentenced 71 people to life in prison for their role in the August 2013 burning of a Christian church in the Giza province village of Kafr Hakim, state news reports. The Virgin Mary Church was torched and looted by a mob, some of whom chanted against Coptic Christians and called for Egypt to become an ""Islamic state,"" one of at least 42 churches and many more businesses and homes targeted that August, the advocacy group Human Rights Watch reports. Others attacked included St. George Church in Sohag, a city south of Cairo on the Nile River, and Prince Tadros Church in Fayoum, which is southwest of Cairo, according to reports. In addition to those getting life sentences, two minors were sentenced to 10 years in prison and fined 10,000 Egyptian pounds (about $1,300), Egypt's official Egynews reported. Most of those sentenced -- 52 of the 73 defendants -- were tried in absentia, with 21 already in prison, according to Egynews. Some blamed the church and other attacks on supporters of the Muslim Brotherhood, the Islamist movement that backed Mohamed Morsy. Morsy became Egypt's first democratically elected president following the ouster of longtime leader Hosni Mubarak. Morsy was pushed out by Egypt's military. Morsy was sentenced to 20 years in prison earlier this month after being convicted on charges related to violence outside the presidential palace in December 2012. But he was acquitted of murder in the deaths of protesters. Christian churches across Egypt stormed, torched . Journalist Sarah Sirgany reported from Cairo and CNN's Greg Botelho reported and wrote this story from Atlanta.","2 minors were sentenced to 10 years in prison, in addition to adults getting life .
52 of the 73 defendants were sentenced in absentia .
The Virgin Mary Church was burned along with dozens of others in August 2013 .",An Egyptian court has sentenced 71 people to life in prison for their role in the August 2013 burning of a Christian church in the Gharbia province .,"An Egyptian court has sentenced 71 people to life in prison for their involvement in the burning of a Christian church in Kafr Hakim in August 2013, part of a series of attacks on churches and properties. The attacks were linked to calls for Egypt to become an ""Islamic state,"" with some attributing the violence to supporters of the Muslim Brotherhood.","An Egyptian court has sentenced 71 people to life in prison for their involvement in the burning of a Christian church in Kafr Hakim in August 2013, part of a series of attacks on churches and properties. The attacks were linked to calls for Egypt to become an ""Islamic state,"" with some attributing the violence to supporters of the Muslim Brotherhood."
a74a76a91dd176c133c9530405cfb0be84f45f8b05d8983975e8664195a07a6f,"Former world champion Ken Doherty is on the brink of exiting the Betfred World Snooker Championships in the final qualifying round. Doherty, who lifted the title in 1997, trails Mark Davis 8-1 after the first session of their third-round qualifier at Ponds Forge in Sheffield. The 45-year-old faces an uphill battle to avoid becoming the third Crucible winner to crash out this week, with Peter Ebdon and Steve Davis having lost in the second round. Ken Doherty is just two frames away from going out of World Championships qualifying in Sheffield . Doherty enjoys a pint of Guinness after winning the World Championships in 1997 . Graeme Dott, another former champion, must come from behind on Wednesday to book his place in the main draw as he trails world number 52 Yu Delu 5-4. Elsewhere, former world championship runner-up Matthew Stevens leads Joe Swail 5-4 as he bids for a first Crucible appearance since 2013. Graeme Dott is a former world champion, winning the showpiece event at the Crucible in 2006 .","Ken Doherty is struggling in his final World Championships qualifier .
The 1997 world champion trails Mark Davis 8-1 after the first session .
Graeme Dott must also spark a comeback at 5-4 down to Yu Delu .",Ken Doherty is on the brink of exiting the Betfred World Snooker Championships in the final qualifying round.,"Former world champion Ken Doherty faces a tough challenge in the final qualifying round of the Betfred World Snooker Championships, trailing Mark Davis 8-1. Other former champions like Peter Ebdon and Steve Davis have already been eliminated this week. Graeme Dott, another former champion, is also struggling in his qualifier against Yu Delu.","Former world champion Ken Doherty faces a tough challenge in the final qualifying round of the Betfred World Snooker Championships, trailing Mark Davis 8-1. Other former champions like Peter Ebdon and Steve Davis have already been eliminated this week. Graeme Dott, another former champion, is also struggling in his match against Yu Delu."
9a75d17562f3aee290a2d65ebda111246f0304d1649bae80c172576453c9877f,"Formula One star Jenson Button completed the London Marathon with an impressive time of two hours, 52 minutes and 30 seconds. The 35-year-old McLaren driver told the BBC he was 'chuffed to bits' with his performance, but joked he was disappointed to finish behind former Olympic rower James Cracknell. He added, 'There was such an amazing atmosphere out there.' Formula One driver Jenson Button celebrates completing the London Marathon 2015 in under three hours . Button praised the 'amazing atmosphere' and collective spirit of the runners at the event . Button was running on behalf of the charity Cancer Research and was really buoyed by the good will feelings about the event. 'People have put in so much effort and it's actually quite emotional it was really cool,' he said, before praising the collective spirit of the runners. 'To come here and do a completely different sport with 36,000 other people... it's really really emotional.' Button was running on behalf of Cancer Research and described his experience as 'really really emotional'","McLaren driver Jenson Button ran the London Marathon 2015 .
He finished with a time of 2 hours 52 minutes and 30 seconds .
Button praised the 'amazing atmosphere' and collective spirit of the runners at the event .","Jenson Button completed the London Marathon with an impressive time of two hours, 52 minutes and 30 seconds.","Jenson Button, the Formula One star, completed the London Marathon in under three hours, expressing his joy at the event's atmosphere and the collective spirit of the runners. Running for Cancer Research, Button found the experience emotional and inspiring, praising the efforts of all participants.","Formula One star Jenson Button completed the London Marathon in under three hours, praising the amazing atmosphere and collective spirit of the runners at the event. Running on behalf of Cancer Research, Button expressed emotional gratitude for the goodwill and effort put into the marathon."
070a77f403da252436f586087a88f9cbd20785bf8104bfdfbd1e3829d17ed04a,"A bomb technician has used his expertise to create an Easter egg hunt for blind children - using beeping eggs. David Hyche, now a special agent at the Bureau of Alcohol, Tobacco and Firearms (ATF), developed the technology nine years ago when his four-month-old daughter turned blind. A transmitter is placed inside plastic eggs that let off a high-pitched beeping sound. Now Hyche has passed on the idea to the Alabama Institute for Deaf and Blind in Birmingham. Festive invention: Blind children in Birmingham, Alabama, have celebrated Easter early by hunting for plastic eggs that let of a beeping sound. They trade the eggs in for candy . The device: Bomb expert David Hyche put a transmitter in a plastic egg so his daughter could join the fun . 'With my daughter, one of her first phrases was, 'I do it myself.' She wants to do it by herself and most of these kids want to do that too,' he told WBRC. 'It's logical for people who are explosives investigators. It's just a battery, beeper and a switch... pretty simple.' Giggling and running around the play area at Brimingham's regional center, the blind children filled baskets with the beeping eggs, before trading them in for candy. 'We love to give the opportunity for our children with disabilities and their families to come out and have the same opportunity as everybody else does,' said Tamara Harrison with the Alabama Institute. Hyche (pictured) came up with the device when his daughter turned blind nine years ago . The father has shared his idea with the Alabama Institute for Deaf and Blind (pictured) this year .","Bomb expert David Hyche created the eggs when his daughter turned blind .
The children follow sound of a beeper in a plastic egg, trade it for candy .
He has now passed on the idea to Alabama Institute for Deaf and Blind .",A former bomb technician has used his expertise to create an Easter egg hunt for blind children - using beeping eggs.,"A bomb technician created a beeping Easter egg hunt for blind children, using a transmitter inside plastic eggs. The festive invention allows blind children in Birmingham, Alabama, to enjoy an Easter egg hunt by trading the beeping eggs for candy, providing them with the same opportunities as others.","A bomb technician created a beeping Easter egg hunt for blind children, using a transmitter inside plastic eggs. The festive invention allows blind children in Birmingham, Alabama, to participate in the Easter egg hunt and trade the beeping eggs for candy, providing them with a fun and inclusive experience."
edcfbd4f506eec78461bf2d1d29fbdc5062d49bb8e87389a3160da84842231a3,"Jose Mourinho has lauded Chelsea's consistency, with a hint of caution, as his side bid to wrap up a wire-to-wire Premier League victory. The Blues have led or shared the lead since the opening round of fixtures and entered this weekend's matches seven points clear with eight matches remaining, beginning at QPR on Sunday. 'To be top of the league since day one shows consistency, stability, confidence and a brave approach to every game,' Mourinho said. Chelsea have topped the Premier League since the opening day but Jose Mourinho (left) will remain focused . Blues captain John Terry has been a pivotal figure in keeping the west Londoners in consistent form . Diego Costa celebrates his goal in Chelsea's 3-1 win against Burnley on the opening day of the season . 'We are there, we deserve to be there, but every game is difficult. And we still have eight matches to play.' Mourinho knows the Premier League - a championship more competitive than Italy's Serie A or Spain's Primera Division, in his opinion - can throw up twists and turns in the closing weeks. The Blues boss was not surprised to see holders Manchester City slip up at Crystal Palace last Monday to all but end their title hopes. Crystal Palace striker Glenn Murray opened the scoring in the Eagles' surprise win against Manchester City . Jason Puncheon curls his free kick over the Manchester City wall in Palace's 2-1 win at home on Monday . Mourinho added: 'This is the Premier League. In other competitions it's difficult to believe that the top team can lose four, five, six, seven matches. 'In almost every country it's very difficult for a top team to lose so many matches. 'Here, yes. It's possible. I'm not surprised. It's happening to everybody. Everybody loses matches, everybody loses points.' Mourinho will hope Chelsea are not among them at Loftus Road.","Jose Mourinho praised Chelsea's consistency since the opening fixtures .
The Portuguese said the Premier League's competitiveness is like no other .
Chelsea face QPR on Sunday as they look to maintain league stronghold .",Chelsea boss Jose Mourinho has praised his side's consistency as they bid to wrap up a wire-to-wire Premier League title.,"Chelsea's consistency in leading the Premier League since the opening round is praised by Jose Mourinho, who acknowledges the challenges ahead with eight matches remaining. Mourinho emphasizes the competitive nature of the Premier League, cautioning against complacency as every game presents difficulties and potential surprises.","Jose Mourinho praises Chelsea's consistency and cautious approach as they aim for a wire-to-wire Premier League victory. Despite leading the league since the opening round, Mourinho remains focused on the challenges ahead, acknowledging the competitiveness and unpredictability of the Premier League in the closing weeks."
59e8d1e552d442c2016dc73dd371139221c1da46f6068248626f7664a5dbcfb7,"(CNN)All we want for Christmas is you, Mariah Carey! According to EW, New Line Cinema is planning a Mariah Carey Christmas movie. Producer Jonathan Shestack confirmed that he is working on the yet-untitled project with Carey's good friend director Brett Ratner co-producing. ""It's a little bit about how music can take you back in time,"" Shestack told EW. ""It will be everything you hope a Christmas movie with Mariah Carey would be."" Here are five reasons this movie has to happen: . What is the Christmas season without a little Mariah? Duh! Her 1994 hit ""All I Want For Christmas is You"" is a classic, and admit it: You start listening to it well before the holiday season even begins. It's the jam! The '90s are so coming back . The Backstreet Boys have a documentary out, NBC is bringing the sitcom ""Coach"" back to television, JNCO jeans are being spotted, and there's talk of a new version of ""Full House."" Mariah was the queen of the 1990s, so it's only right that she get in on the revival. You can't forget about her . She already told you: ""Don't Forget About Us."" She's come a long way from ""Glitter"" Carey was ridiculed for the dismal 2001 film ""Glitter,"" but she has more than since redeemed herself with small roles in the critically acclaimed Lee Daniels films ""Precious"" and ""The Butler."" The Diva still reigns . Lest we forget how much sparkle she can bring into our lives, check out this collection of Mariah Carey throwing shade. It really is everything.","New Line Cinema is reportedly planning a Mariah Carey Christmas movie .
Carey was queen of the '90s, and that decade is totally hot now .",Mariah Carey is reportedly planning a Christmas movie .,"A Mariah Carey Christmas movie is in the works, with producer Jonathan Shestack and director Brett Ratner involved. The film aims to showcase how music can evoke nostalgia and promises to deliver everything fans expect from a Christmas movie starring Mariah Carey.","A Mariah Carey Christmas movie is in the works, with producer Jonathan Shestack and director Brett Ratner involved. The film aims to showcase how music can evoke nostalgia and promises to deliver everything fans expect from a Christmas movie starring Mariah Carey."
6ebec025a88ff064314c1927c4f3cc05a434102de4718d78d66e90cd32fcc919,"Gary Neville tore into Manchester City following their defeat against Crystal Palace by insisting the champions have a 'mentality problem' which prevents them from winning back-to-back titles. The former Manchester United and England defender saw City lose 2-1 to leave them in fourth - nine points short of Chelsea at the top of the Barclays Premier League. 'They've got a mentality problem. There's no doubt,' Neville said on Monday Night Football. 'This team cannot sustain success. Manchester City captain Vincent Kompany leaves the field after their 2-1 defeat by Crystal Palace on Monday . Manuel Pellegirni is under pressure as City fell nine points behind Chelsea in the Premier League table . How the top of the Premier League table looks . 'When you win championships, you've got to be able to come back again and show the same hunger. They don't. They drop off it. They get to the top of the mountain and go, ""phew, we did it"", and it's the worst thing that can happen.' 'They are falling well short of where they should be. Make no mistake about that. It's now or never for this team. They can't progress beyond the knockout stages or the last 16 of the Champions League. 'They can't sustain success by winning back-to-back championships. They're getting older. Their average age is the highest in the league at 29 and a half. Unfortunately some of those lads not going to be there next season. They're going to pay for what is a disappointing season, it is looking like now. 'They're going to get into the top four but that Manchester City team with the ambition that they have got and with the quality they should be doing a lot better.' Gary Neville tore into  City following their defeat by insisting the champions have a 'mentality problem' Ex-Manchester United star Neville was on Monday Night Football with Sportsmail's Jamie Carragher (left)","Manchester City lost 2-1 against Crystal Palace on Monday night .
Gary Neville: 'They've got a mentality problem. There's no doubt'
Former Manchester United and England defender Neville on what is wrong with reigning champions City: 'This team cannot sustain success'
JAMIE CARRAGHER: Yaya Toure ducked out of his duties in the wall .
CLICK HERE for all the latest Man City news .",Manchester City have a 'mentality problem' says Gary Neville,Manchester City is criticized by Gary Neville for a 'mentality problem' hindering their back-to-back title wins. Neville highlights the team's inability to sustain success and expresses concerns about their aging squad's performance and ambition.,Manchester City is criticized by Gary Neville for having a 'mentality problem' hindering their back-to-back title wins. Neville highlights the team's inability to sustain success and suggests that they are falling short of expectations due to aging players and lack of hunger for continued achievement.
1412d43a366b12b78af0e60aa9fcb14f86f44fe677c161efe89bfbf9f731a112,"Tim Sherwood will welcome Gary Gardner back into his first team squad during pre-season to assess closely whether the 22-year-old can cut it for Aston Villa in the Premier League. Gardner has enjoyed a successful loan spell at Nottingham Forest and scored a superb free-kick in front of the Villa manager during the defeat to Watford at the City Ground. Sherwood is keen to see Gardner, a former England Under-21 player, train day-to-day before making up his mind and he has spoken previously about his desire for homegrown players to make an impact at the club. Gary Gardner (left) will report to Aston Villa for pre-season training to be assessed by Tim Sherwood . The Villa boss has inspired the club since being appointed and helped lead them to an FA Cup final . Gardner, born in Solihull, joined Villa's academy aged seven and last year was rewarded with a new contract that expires in June 2016 despite suffering serious knee injuries. 'I will go back to Villa in the summer and we will see what happens,' he said. 'When I am back there in training, it will be my chance to impress. Tim Sherwood will not have seen much of me in training, because I have not been there. 'Villa are the main club, I have been there since I was seven and it is the team I support. But Forest have been fantastic to me. It is definitely the second team in my heart. 'If I was made available for loan again next season, if it does not work out at Villa, Forest would be top of my list, definitely. It is the best loan move I have had.' Gardner scored a stunning free-kick against Watford with Sherwood in attendance at the City Ground .","Gary Gardner confirms he'll report to Aston Villa for pre-season training .
The 22-year-old is out on loan at Championship side Nottingham Forest .
Tim Sherwood is keen to asses Gardner ahead of next season .
The midfielder would prefer a move back to Forest if Villa doesn't wok out .
CLICK HERE for all the latest Aston Villa news .",Aston Villa midfielder Gary Gardner is set to return to pre-season training with his new manager Tim Sherwood.,Tim Sherwood plans to assess Gary Gardner's readiness for Aston Villa during pre-season after a successful loan spell at Nottingham Forest. Sherwood aims to evaluate Gardner's potential impact in the Premier League and values the contribution of homegrown players at the club.,"Tim Sherwood plans to assess Gary Gardner's readiness for Aston Villa during pre-season after a successful loan spell at Nottingham Forest. Gardner, a former England Under-21 player, will have the opportunity to impress Sherwood and potentially secure a place in the first team squad."
e0af085b64f01df38151f5d1b0f9be39591746b9d9cb9d8ab73943114b10674d,"One Missouri mom is making the best out of a less than ideal situation. Becky Schoenig of St. Louis, Missouri was shocked when she realized her brand new 2015 Ford Fusion had been stolen from her driveway on Monday night, just a little over a month after she took the car home. Then, on April 1, Schoenig was shocked to learn that police had found her car after receiving a tip from a man who recognized the vehicle as Schoenig's and would be returning it to her - but with a few minor changes. Scroll down for video . Bling: Becky Schoenig was shocked when her stolen car was located and returned to her with new red rims and detailing (above) Theft: The brand new 2015 Ford Fusion (above) had been stolen from her driveway Monday . Racer: She took to Facebook after getting the car back, writing; 'I want to thank the car thieves for pimping out my vehicle for me.... This b***h is pimpin now!!!' As the car pulled up, Schoenig noticed that the rims had been spray painted red, there was red detailing on the sides of the car, and her steering wheel now had some orange accents. Rather than get upset however, she simply took to Facebook and posted a photo of her and her new ride, writing; 'I want to thank the car thieves for pimping out my vehicle for me.... This b***h is pimpin now!!!' She also attached a photo of the car which, given the date, many thought was a joke. It was not all 'lollipops and rainbows' though Schoenig told KSDK, and she is now getting the vehicle professionally cleaned to deal with the strong smell of cigarettes and marijuana. She is also creating a smoothie at the restaurant she owns, The Hot Pot, to honor Mick Sexton, the man who located her car and notified police. The Sexton on Wheels will feature banana, pineapple, peach and coconut cream. 'She's a very special person,' said Marlene Trice, a friend of Schoenig. 'She is vibrant and happy and really loves making people laugh.'","Becky Schoenig of St. Louis, Missouri was shocked when she realized her brand new 2015 Ford Fusion had been stolen from her driveway Monday .
She was even more shocked however when it was located and returned to her with new red rims and detailing .
She took to Facebook after getting the car back, writing;'I want to thank the car thieves for pimping out my vehicle for me.... This b***h is pimpin now!!!'","Becky Schoenig of St. Louis, Missouri was shocked when she realized her brand new car had a blown engine.","A Missouri mom's stolen car was returned with modifications, including red rims and detailing, after being found by police. Despite the changes and odors left by the thieves, she embraced the situation with humor and gratitude, thanking the car thieves for ""pimping out"" her vehicle.","Becky Schoenig's stolen car, a 2015 Ford Fusion, was found and returned to her with modifications, including red rims and detailing. Despite the changes, Schoenig embraced the situation with humor, thanking the thieves for ""pimping out"" her vehicle. She is now dealing with the aftermath of the theft but is also honoring the man who helped recover her car by creating a special smoothie at her restaurant."
ccf6cfa57abd266c085876d3421508af59fad93a032eb6143a24050c7e265db0,"We take more photos of ourselves than ever - but it seems selfies are doing little for our self-confidence. Women typically take and delete five pictures before settling on a selfie they feel comfortable posting online, a survey found. And men are happy only on their fourth try. The new survey found women typically take and delete five pictures before they decide they like a selfie . UKIP leader Nigel Farage poses with some young voters while out canvasing in Broadstairs. The survey, carried out by OnePoll, found men are also guilty of taking multiple selfies before they post one they like . Two in three women (64 per cent) feel anxious just having their photo taken, while looking at snaps on social media made 41 per cent feel bad about themselves, according to a survey of 5,000 people by market researchers OnePoll. Of the children who were also questioned, which included 58 per cent who took selfies, 79 per cent said they were happy with the way they looked, 67 per cent thought they needed to look good. ITV's Good Morning Britain show, which commissioned the research, is encouraging viewers to share the first selfie they take on social media under the hashtag #SelfieEsteem. Jamelia, Nicky Byrne, Beth Tweddle, Richard Madeley, Piers Morgan, Nancy Dell’Olio, Rebecca Ferguson are among the celebrities backing the campaign. Piers Morgan appears on Good Morning Britain along with presenter Susanna Reid. The ITV show commissioned the survey and is encouraging viewers to share the first selfie they take on social media . The survey also found a third of women were worried they were passing on body confidence issues to their children and 41 per cent of children did not think their mother was happy with the way she looked. It also found 15 per cent of women and 19 per cent of men had cropped, filtered, or retouched pictures of their children.","Survey finds women rule out five photos before posting a selfie online .
Two in three women anxious about having their photo taken, OnePoll found .
ITV show launching campaign to get people to share their first selfie online .",Take a look at these top tips for taking the perfect selfie .,"People take and delete multiple selfies before posting one they like, with women typically taking five attempts and men being satisfied on the fourth try. A survey revealed that many individuals, especially women, feel anxious about having their photo taken and experience negative feelings when looking at social media photos. Additionally, concerns about body confidence issues being passed on to children were highlighted, with a significant percentage of parents editing their children's photos.","People take and delete multiple selfies before posting one they like, with women typically taking five attempts and men being satisfied on the fourth try. A survey revealed that many individuals, especially women, feel anxious about having their photo taken and experience negative feelings when looking at social media photos. Additionally, concerns about body confidence issues being passed on to children were highlighted, with a significant percentage of parents editing their children's photos."
