original_input,gold_reference,google/flan-t5-xxl,davinci-instruct-beta,gpt-3.5-turbo,id
"After enjoyable activities , like petting , play or talking , both dogs and humans feel a surge of chemicals in their bodies .","After activities such as petting , play or talking , both dogs and humans feel a rush of chemicals in their bodies .","After enjoyable activities , both dogs and humans feel a surge of chemicals in their bodies .","Simplified version 1: After fun activities such as petting, playing, or talking, dogs and humans both experience a chemical boost in their bodies.

Simplified version 2: When dogs and humans engage in enjoyable activities like petting, playing, or talking, they both get a chemical boost in their bodies.

Chosen version: When dogs and humans engage in enjoyable activities like petting, playing, or talking, they both get a chemical boost in their bodies.","Simplified version 1: After fun activities such as petting, playing, or talking, dogs and humans both experience a chemical boost in their bodies.

Simplified version 2: When dogs and humans engage in enjoyable activities like petting, playing, or talking, they both get a chemical boost in their bodies.

Chosen version: When dogs and humans engage in enjoyable activities like petting, playing, or talking, they both get a chemical boost in their bodies.",912cd406dd6b3bd7d5d9bb7b1e98c890831b148c3d88e0c0319ce2cedae33f9d
The National Institute of Anthropology and History said Monday that a team led by archaeologist Leonardo Lopez Lujan had discovered an 8.4-meter-long -LRB- 27-foot-long -RRB- tunnel leading into the center of a circular platform where dead rulers were believed to have been cremated .,The National Institute of Anthropology and History is a Mexican government department that researches Mexican history . They announced recently that a team had discovered a 27-foot-long -LRB- 8.4-meter -RRB- tunnel . The team was led by archaeologist Leonardo Lopez Lujan . The tunnel leads into the center of a circular platform . Dead rulers were believed to have been cremated at the site .,The National Institute of Anthropology and History said Monday that a team led by archaeologist Leonardo Lopez Lujan had discovered an 8.4-meter-long tunnel leading into the center of a circular platform where dead rulers were believed to have been cremated.,"Simplified version 1: The National Institute of Anthropology and History announced on Monday that a team led by archaeologist Leonardo Lopez Lujan found a 27-foot-long tunnel leading to a circular platform where dead rulers were cremated.

Simplified version 2: The National Institute of Anthropology and History revealed on Monday that an archaeologist named Leonardo Lopez Lujan led a team that discovered a 27-foot-long tunnel. It leads to a circular platform where dead rulers were cremated. 

**Chosen version:**
The National Institute of Anthropology and History announced on Monday that a team led by archaeologist Leonardo Lopez Lujan found a 27-foot-long tunnel leading to a circular platform where dead rulers were cremated.","Simplified version 1: The National Institute of Anthropology and History announced on Monday that an archaeologist named Leonardo Lopez Lujan found a 27-foot-long tunnel leading to a circular platform where dead rulers were cremated.

Simplified version 2: The National Institute of Anthropology and History revealed on Monday that archaeologist Leonardo Lopez Lujan's team uncovered a 27-foot-long tunnel that led to a circular platform where rulers were cremated. 

Chosen version: The National Institute of Anthropology and History announced on Monday that an archaeologist named Leonardo Lopez Lujan found a 27-foot-long tunnel leading to a circular platform where dead rulers were cremated.",10371b585b150a09cf43120b1dc447114f94b56ce447eba00488c6ff9d054ac4
Sanders said he would like to see wealthy Americans and businesses pay more taxes .,"Rich Americans and big businesses should pay more taxes , he said .",Sanders said he would like to see wealthy Americans and businesses pay more taxes.,"1. Sanders wants rich Americans and businesses to pay higher taxes.
2. Sanders wants wealthy Americans and businesses to pay increased taxes.

Chosen version: Sanders wants rich Americans and businesses to pay higher taxes.","Simplified version 1: Sanders wants rich Americans and businesses to pay higher taxes.

Simplified version 2: Sanders wants wealthy Americans and businesses to pay increased taxes.

**Chosen version: Sanders wants rich Americans and businesses to pay higher taxes.**",c48b8f0549cdbd6d54f5da82340cc99b2e92e6b2974b0481ed1ddc78cc95dd45
"The automotive industry here is still small compared with Detroit , and an increase of about 10,000 jobs has a small effect on the state 's large and diverse economy .","This number is still small when compared with Detroit , however . There are an estimated 326,000 automotive workers employed in Michigan .","The automotive industry here is still small compared with Detroit . An increase of about 10,000 jobs has a small effect on the state 's large and diverse economy .","Simplified version 1: The car industry here is smaller than Detroit's, and adding 10,000 jobs has a small impact on the state's big economy.

Simplified version 2: The car industry here is not as big as Detroit's, so adding 10,000 jobs doesn't have a huge impact on the state's diverse economy.

**Chosen version:**
The car industry here is smaller than Detroit's, and adding 10,000 jobs has a small impact on the state's big economy.","Simplified version 1: The car industry here is smaller than Detroit, and adding 10,000 jobs has a small impact on the state's big economy.

Simplified version 2: The car industry here is not as big as Detroit, so adding 10,000 jobs doesn't have a huge impact on the state's large economy.

**Chosen version:**
The car industry here is smaller than Detroit, and adding 10,000 jobs has a small impact on the state's big economy.",8e928489538945e4a437acf07d89c243e12822e31fb1a41ea32466be1bbb99ee
The Japanese equivalent of the Peace Corps — Japan 's Overseas Cooperation Volunteers — will do the same .,The Japanese version of the Peace Corps — the Overseas Cooperation Volunteers — will do the same .,The Japanese equivalent of the Peace Corps is Japan 's Overseas Cooperation Volunteers .,"Simplified version 1: Japan's version of the Peace Corps, called Japan's Overseas Cooperation Volunteers, will also help.
Simplified version 2: Japan's Overseas Cooperation Volunteers, similar to the Peace Corps, will do the same.

Chosen version: Japan's Overseas Cooperation Volunteers, similar to the Peace Corps, will do the same.","Simplified version 1: Japan's Overseas Cooperation Volunteers are like the Peace Corps in Japan.

Simplified version 2: Japan's Overseas Cooperation Volunteers are similar to the Peace Corps in Japan.

**Chosen version: Japan's Overseas Cooperation Volunteers are like the Peace Corps in Japan.**",ee05e503a52aed4d2b8d55a62f16154ceb5eaebeabf344da4743ffc95aea7f36
" But in this collection , we hear more of that militant voice . ","However , Cannon said , "" in this collection , we hear more of that militant voice . ""","But in this collection , we hear more of that militant voice .","Simplified version 1: In this collection, we hear more of the strong voice.

Simplified version 2: In this collection, we hear more of the forceful voice.

Final chosen version: In this collection, we hear more of the strong voice.","Simplified version 1: In this collection, we hear more of the strong voice.

Simplified version 2: In this collection, we hear more of the forceful voice.

**Chosen version: In this collection, we hear more of the strong voice.**",589424abfbe4ee5fecb65c5ea3ddc592d94de8334f9592fc23f9baeffdb61c6c
he yelled .,his father Russell yelled .,He yelled .,"He shouted.

OR

He raised his voice. 

I choose: He shouted.","He shouted.

OR

He raised his voice. 

I choose: He shouted.",db5a86d717d3e42ae420082345d30214dc9bb35b27ffa15953ac38a505fa9238
The songs appeared on the Billboard Hot 100 list from 1960 to 2010 .,The songs were from 1960 to 2010 .,The songs were on the Billboard Hot 100 list from 1960 to 2010 .,"Simplified version 1: The songs were on the Billboard Hot 100 list between 1960 and 2010.

Simplified version 2: The songs were listed on the Billboard Hot 100 from 1960 to 2010.

**Chosen version: The songs were listed on the Billboard Hot 100 from 1960 to 2010.**","Simplified version 1: The songs were on the Billboard Hot 100 list from 1960 to 2010.

Simplified version 2: Songs were on the Billboard Hot 100 list between 1960 and 2010.

**Chosen version: Songs were on the Billboard Hot 100 list between 1960 and 2010.**",44c1065ee6928d965fa32fb91294071dcb78910e46b101871149cf9257f1213c
The response to the Paris attack should be to set the West on a path to dealing with the Middle East in a way that undermines the anti-Western attitudes that lead to indiscriminate violence of the kind we saw on the streets of Paris .,The response to the Paris attacks should be to set the West on a path to dealing with the Middle East . We must do so in a way that undermines the anti-Western attitudes that led to the violence we saw on the streets of Paris .,The response to the Paris attack should be to set the West on a path to dealing with the Middle East in a way that undermines the anti-Western attitudes that lead to indiscriminate violence.,"Simplified version 1: The reaction to the Paris attack should focus on addressing anti-Western attitudes in the Middle East to prevent similar violence.

Simplified version 2: The response to the Paris attack should aim to tackle anti-Western sentiments in the Middle East to prevent such violence in the future.

**Chosen version: The response to the Paris attack should aim to tackle anti-Western sentiments in the Middle East to prevent such violence in the future.**","Simplified version 1: The reaction to the Paris attack should focus on addressing anti-Western attitudes in the Middle East to prevent similar violence.

Simplified version 2: The response to the Paris attack should aim to tackle anti-Western sentiments in the Middle East to prevent such violence in the future.

Final chosen version: The response to the Paris attack should aim to tackle anti-Western sentiments in the Middle East to prevent such violence in the future.",2c9aa53338caf28b389dbf93f7a5607232a9344418ac904e4d90df905b9e8557
"It 's really a good thing . ""","Hintch said sneaking in coding along with fun activities is "" really a good thing . ""","It 's really a good thing . ""","Simplified version 1: It's a positive thing.

Simplified version 2: It's a good thing. 

Chosen version: It's a good thing.","Simplified version 1: It's a positive thing.

Simplified version 2: It's a good thing.

Final chosen version: It's a good thing.",6215b6dc6acd3c4956db46e51c7e2ab196a52843e183660dc5d3a69bc7450c4f
